lesson_no,question_no,type,question,correct_letters,correct_answers,option_a,option_b,option_c,option_d
"1","1","single","Các điều kiện hình thành Nhà nước là gì?","C","Điều kiện về kinh tế, xã hội","Điều kiện về kinh tế, chính trị","Điều kiện về chính trị, xã hội","Điều kiện về kinh tế, xã hội","Điều kiện về văn hóa, xã hội"
"1","2","single","Với bản chất xã hội, ngoài bảo vệ giai cấp thống trị, xác định Nhà nước còn bảo vệ giai cấp nào trong xã hội?","D","Giai cấp bị trị và các giai tầng khác trong xã hội","Không bảo vệ giai cấp nào khác","Tầng lớp trí thức","Giai cấp bị trị","Giai cấp bị trị và các giai tầng khác trong xã hội"
"1","3","single","Với bản chất xã hội, ngoài tư cách là bộ máy của giai cấp thống trị, chỉ ra Nhà nước còn là tổ chức nào?","B","Tổ chức quyền lực công, tổ chức bảo đảm lợi ích chung của toàn xã hội","Tổ chức quyền lực công","Tổ chức quyền lực công, tổ chức bảo đảm lợi ích chung của toàn xã hội","Tổ chức chính trị","Tổ chức đảm bảo lợi ích chung của toàn xã hội"
"1","4","single","Nhà nước có bao nhiêu đặc trưng?","C","Năm đặc trưng","Bốn đặc trưng","Ba đặc trưng","Năm đặc trưng","Sáu đặc trưng"
"1","5","single","Nhà nước có bao nhiêu hoạt động chính để thực hiện chức năng đối nội và đối ngoại?","B","Ba hoạt động chính","Hai hoạt động chính","Ba hoạt động chính","Năm hoạt động chính","Bốn hoạt động chính"
"1","6","single","Xác định tổ chức duy nhất có quyền ban hành pháp luật?","D","Nhà nước","Quốc hội","Cơ quan nhà nước","Tổ chức chính trị","Nhà nước"
"1","7","single","Xác định tổ chức độc quyền đặt ra thuế và thu thuế?","D","Nhà nước","Cơ quan nhà nước","Cơ quan thuế","Tổ chức kinh tế","Nhà nước"
"1","8","single","Xác định hoạt động đảm bảo trật tự xã hội thuộc chức năng nào của Nhà nước?","D","Chức năng đối nội","Chức năng đối ngoại","Chức năng kinh tế","Chức năng xã hội","Chức năng đối nội"
"1","9","single","Xác định hoạt động phát triển và ổn định kinh tế thuộc chức năng nào của Nhà nước?","A","Chức năng đối nội","Chức năng đối nội","Chức năng chính trị","Chức năng kinh tế","Chức năng đối ngoại"
"1","10","single","Ngày 28/10/2024, Việt Nam và Các tiểu vương quốc Ả-rập Thống nhất (UAE) đã chính thức ký kết Hiệp định Đối tác kinh tế toàn diện Việt Nam - UAE (Hiệp định CEPA). Thực hiện xác định hoạt động ký kết Hiệp định trên của Việt Nam thuộc chức năng nào?","D","Chức năng đối ngoại","Chức năng chính trị","Chức năng kinh tế","Chức năng đối nội","Chức năng đối ngoại"
"1","11","single","Xác định người đứng đầu Nhà nước có quyền lực vô hạn thuộc hình thức Nhà nước nào?","C","Hình thức chính thể quân chủ tuyệt đối","Hình thức chính thể quân chủ hạn chế","Hình thức chính thể quân chủ lập hiến","Hình thức chính thể quân chủ tuyệt đối","Hình thức chỉnh thể quân chủ"
"1","12","single","Xác định kiểu Nhà nước đầu tiên trong lịch sử hình thành Nhà nước?","A","Nhà nước chủ nô","Nhà nước chủ nô","Nhà nước xã hội chủ nghĩa","Nhà nước phong kiến","Nhà nước tư sản"
"1","13","single","Xác định kiểu Nhà nước mà giai cấp thống trị sử dụng công cụ bạo lực để thực hiện nền chuyên chính?","D","Nhà nước chủ nô","Nhà nước phong kiến","Nhà nước tư sản","Nhà nước xã hội chủ nghĩa","Nhà nước chủ nô"
"1","14","single","Xác định kiểu Nhà nước mà bộ máy Nhà nước tổ chức theo nguyên tắc phân chia quyền lực?","C","Nhà nước tư sản","Nhà nước chủ nô","Nhà nước phong kiến","Nhà nước tư sản","Nhà nước xã hội chủ nghĩa"
