lesson_no,question_no,type,question,correct_letters,correct_answers,option_a,option_b,option_c,option_d
"1","1","single","Lợi ích nào sau đây không phải là lợi ích của thương mại điện tử đối với người tiêu dùng?","B","Đảm bảo chất lượng sản phẩm tốt hơn.","Tiết kiệm thời gian và chi phí mua sắm.","Đảm bảo chất lượng sản phẩm tốt hơn.","Tiếp cận sản phẩm đa dạng, phong phú.","So sánh giá cả dễ dàng hơn."
"1","2","single","Yếu tố nào sau đây không phải là một phần của quá trình mua hàng trực tuyến?","B","Thanh toán bằng tiền mặt","Tìm kiếm sản phẩm.","Thanh toán bằng tiền mặt","So sánh giá cả.","Đặt hàng"
"1","3","single","So với mô hình B2C, mô hình C2C có ưu điểm nổi bật nào?","D","Tính cá nhân hóa cao hơn.","Chất lượng sản phẩm đồng đều hơn.","Quy mô kinh doanh lớn hơn.","Chi phí vận hành thấp hơn","Tính cá nhân hóa cao hơn."
"1","4","single","Tại sao các doanh nghiệp truyền thống thường gặp khó khăn khi chuyển đổi sang mô hình kinh doanh trực tuyến?","D","Tất cả các yếu tố đều đúng.","Sức cạnh tranh từ các đối thủ trực tuyến quá lớn.","Không có kinh nghiệm về công nghệ.","Thiếu vốn đầu tư.","Tất cả các yếu tố đều đúng."
"1","5","single","Khái niệm ""cá nhân hóa"" trong thương mại điện tử có ý nghĩa gì?","C","Cung cấp sản phẩm, dịch vụ phù hợp với nhu cầu và sở thích của từng khách hàng.","Tùy chỉnh giao diện website cho từng khách hàng.","Cung cấp sản phẩm, dịch vụ giống nhau cho tất cả khách hàng.","Cung cấp sản phẩm, dịch vụ phù hợp với nhu cầu và sở thích của từng khách hàng.","Thu thập thông tin cá nhân của khách hàng."
"1","6","single","Theo bạn, mô hình kinh doanh nào sau đây phù hợp nhất cho việc bán các sản phẩm thủ công mỹ nghệ?","D","C2C","B2G","B2C","B2B","C2C"
"1","7","single","Thương mại điện tử giúp người tiêu dùng như thế nào?","A","Mua sắm dễ dàng và tiện lợi hơn.","Mua sắm dễ dàng và tiện lợi hơn.","Giảm sự lựa chọn sản phẩm.","Giảm cơ hội tiếp cận thông tin sản phẩm.","Tăng chi phí mua sắm."
"1","8","single","Một trong các lợi ích của TMĐT đối với người tiêu dùng là khả năng mua hàng theo yêu cầu riêng biệt. Điều này có ý nghĩa gì?","B","Người tiêu dùng có thể đặt hàng theo các yêu cầu riêng của mình mà không phải trả thêm chi phí cao","Người tiêu dùng không thể thay đổi yêu cầu của mình sau khi đặt hàng","Người tiêu dùng có thể đặt hàng theo các yêu cầu riêng của mình mà không phải trả thêm chi phí cao","Người tiêu dùng không thể tùy chọn sản phẩm theo yêu cầu riêng","Người tiêu dùng chỉ có thể mua hàng từ các nhà cung cấp trong nước"
"1","9","single","Trở ngại nào dưới đây không phải là vấn đề công nghệ đối với TMĐT?","D","Thiếu niềm tin vào TMĐT","Thiếu cơ sở hạ tầng mạng.","Thiếu các tiêu chuẩn an ninh","Thiếu các phần mềm hỗ trợ TMĐT","Thiếu niềm tin vào TMĐT"
"1","10","single","Tại sao thương mại điện tử giúp giảm chi phí cho doanh nghiệp?","B","Tất cả các đáp án đều đúng.","Giảm chi phí in ấn, giấy tờ.","Tất cả các đáp án đều đúng.","Giảm chi phí quản lý kho hàng.","Giảm chi phí thuê mặt bằng."
