lesson_no,question_no,type,question,correct_letters,correct_answers,option_a,option_b,option_c,option_d
"1","1","single","Quản trị giúp tổ chức đạt được điều gì?","A","A.Mục tiêu đề ra thông qua việc sử dụng hiệu quả các nguồn lực.","A.Mục tiêu đề ra thông qua việc sử dụng hiệu quả các nguồn lực.","B.Mối quan hệ với khách hàng tốt hơn.","C.Tăng cường năng lực của nhà quản trị.","D.Sự ổn định tài chính."
"1","2","single","Vai trò chính của nhà quản trị trong tổ chức là gì?","B","B.Đưa ra quyết định, phối hợp nguồn lực, và đạt mục tiêu tổ chức.","A.Điều hành công việc sản xuất.","B.Đưa ra quyết định, phối hợp nguồn lực, và đạt mục tiêu tổ chức.","C.Thực hiện công việc hành chính.","D.Tăng doanh thu thông qua bán hàng."
"1","3","single","Quản trị khác quản lý ở điểm nào?","A","A.Quản trị tập trung vào dài hạn, còn quản lý tập trung vào ngắn hạn.","A.Quản trị tập trung vào dài hạn, còn quản lý tập trung vào ngắn hạn.","B.Quản lý không liên quan đến hoạch định chiến lược.","C.Quản trị chỉ dành cho cấp lãnh đạo cao nhất.","D.Quản trị không bao gồm kiểm soát công việc."
"1","4","single","Tính chất của hoạt động quản trị là gì?","C","C.Liên tục và thay đổi theo tình huống.","A.Không chịu ảnh hưởng bởi môi trường bên ngoài.","B.Cố định.","C.Liên tục và thay đổi theo tình huống.","D.Chỉ mang tính lý thuyết."
"1","5","single","Tại sao quản trị được coi là quá trình xã hội?","B","B.Vì quản trị liên quan đến việc tổ chức các hoạt động con người để đạt được mục tiêu chung.","A.Vì quản trị tập trung vào các mối quan hệ cá nhân.","B.Vì quản trị liên quan đến việc tổ chức các hoạt động con người để đạt được mục tiêu chung.","C.Vì quản trị không phụ thuộc vào tài chính hay công nghệ.","D.Vì quản trị chỉ áp dụng cho các tổ chức xã hội"
"1","6","single","Chỉ ra đặc điểm nào giúp phân biệt hoạt động quản trị với các hoạt động không thuộc phạm vi quản trị?","B","B.Quản trị là một quá trình liên tục, đòi hỏi sự phối hợp và hợp tác giữa các nguồn lực.","A.Quản trị chỉ được thực hiện bởi các nhà lãnh đạo cấp cao.","B.Quản trị là một quá trình liên tục, đòi hỏi sự phối hợp và hợp tác giữa các nguồn lực.","C.Quản trị chỉ áp dụng trong các ngành công nghiệp nặng.","D.Quản trị chỉ tập trung vào việc đạt được mục tiêu cá nhân."
"1","7","single","Nêu định nghĩa nhà quản trị?","A","A.Người có trách nhiệm sử dụng hiệu quả các nguồn lực để đạt mục tiêu tổ chức","A.Người có trách nhiệm sử dụng hiệu quả các nguồn lực để đạt mục tiêu tổ chức","B.Người tham gia trực tiếp vào sản xuất sản phẩm","C.Người phụ trách bộ phận tài chính của công ty","D.Người đảm nhận vai trò vận hành máy móc"
"1","8","single","Mục tiêu hàng đầu của nhà quản trị là gì trong việc điều hành tổ chức?","C","C.Đạt được mục tiêu của tổ chức một cách hiệu quả và hiệu suất cao","A.Tăng cường kỹ năng giao tiếp cá nhân","B.Tham gia xây dựng các chương trình xã hội","C.Đạt được mục tiêu của tổ chức một cách hiệu quả và hiệu suất cao","D.Đảm bảo sự ổn định tài chính cá nhân"
"1","9","single","Để đạt được mục tiêu của tổ chức, nhà quản trị cần tập trung vào yếu tố nào sau đây?","C","C.Sử dụng hiệu quả các nguồn lực như con người, tài chính, vật chất và thông tin","A.Thực hiện nghiên cứu thị trường","B.Tăng doanh số bán hàng","C.Sử dụng hiệu quả các nguồn lực như con người, tài chính, vật chất và thông tin","D.Tăng cường mối quan hệ với đối tác"
"1","10","single","Tại sao quản trị được coi là một khoa học?","B","B.Vì dựa trên các nguyên tắc, lý thuyết và phương pháp đã được kiểm chứng","A.Vì dựa trên cảm giác và kinh nghiệm cá nhân","B.Vì dựa trên các nguyên tắc, lý thuyết và phương pháp đã được kiểm chứng","C.Vì phụ thuộc vào phong cách của nhà quản trị","D.Vì chỉ áp dụng trong lĩnh vực sản xuất"
